	DepTime	CRSDepTime	ArrTime	CRSArrTime	ActualElapsedTime	CRSElapsedTime	AirTime	ArrDelay	DepDelay	Distance	TaxiIn	TaxiOut	CarrierDelay	WeatherDelay	NASDelay	SecurityDelay	LateAircraftDelay
98385	1001.0	945	1257.0	1240	116.0	115.0	105.0	17.0	16.0	779	3.0	8.0	11.0	0.0	1.0	0.0	5.0
98447	748.0	700	831.0	752	103.0	112.0	78.0	39.0	48.0	513	4.0	21.0	39.0	0.0	0.0	0.0	0.0
98478	911.0	820	1045.0	1003	94.0	103.0	71.0	42.0	51.0	445	5.0	18.0	10.0	0.0	0.0	0.0	32.0
98571	931.0	900	1151.0	1124	80.0	84.0	69.0	27.0	31.0	513	3.0	8.0	19.0	0.0	0.0	0.0	8.0
98602	1209.0	1130	1323.0	1304	134.0	154.0	116.0	19.0	39.0	779	5.0	13.0	19.0	0.0	0.0	0.0	0.0
98695	737.0	730	1058.0	1040	141.0	130.0	115.0	18.0	7.0	904	3.0	23.0	7.0	0.0	11.0	0.0	0.0
98925	1111.0	1030	1306.0	1221	115.0	111.0	95.0	45.0	41.0	650	4.0	16.0	1.0	0.0	4.0	0.0	40.0
99079	1621.0	1530	1823.0	1740	122.0	130.0	101.0	43.0	51.0	690	5.0	16.0	5.0	0.0	0.0	0.0	38.0
99110	1348.0	1300	1542.0	1457	114.0	117.0	98.0	45.0	48.0	690	4.0	12.0	16.0	0.0	0.0	0.0	29.0
99262	1001.0	935	1120.0	1056	79.0	81.0	65.0	24.0	26.0	408	3.0	11.0	0.0	0.0	0.0	0.0	24.0
99349	1630.0	1615	1855.0	1839	85.0	84.0	75.0	16.0	15.0	513	3.0	7.0	15.0	0.0	1.0	0.0	0.0
99380	823.0	730	934.0	902	71.0	92.0	55.0	32.0	53.0	408	6.0	10.0	32.0	0.0	0.0	0.0	0.0
99911	1629.0	1609	1925.0	1855	116.0	106.0	84.0	30.0	20.0	558	10.0	22.0	0.0	0.0	10.0	0.0	20.0
99930	1513.0	1500	1601.0	1542	108.0	102.0	87.0	19.0	13.0	558	3.0	18.0	13.0	0.0	6.0	0.0	0.0
100182	1917.0	1855	2021.0	2006	64.0	71.0	46.0	15.0	22.0	236	5.0	13.0	8.0	0.0	0.0	0.0	7.0
100225	1850.0	1800	2328.0	2255	158.0	175.0	135.0	33.0	50.0	1187	6.0	17.0	0.0	0.0	14.0	0.0	19.0
100455	2310.0	2145	25.0	2305	75.0	80.0	55.0	80.0	85.0	308	5.0	15.0	80.0	0.0	0.0	0.0	0.0
100573	1046.0	1005	1212.0	1122	86.0	77.0	58.0	50.0	41.0	390	4.0	24.0	6.0	0.0	9.0	0.0	35.0
100603	2224.0	2140	2352.0	2302	88.0	82.0	63.0	50.0	44.0	373	7.0	18.0	0.0	0.0	6.0	0.0	44.0
100636	1654.0	1640	1907.0	1828	133.0	108.0	111.0	39.0	14.0	748	14.0	8.0	14.0	0.0	25.0	0.0	0.0
100667	1437.0	1345	1707.0	1633	150.0	168.0	129.0	34.0	52.0	954	8.0	13.0	7.0	0.0	0.0	0.0	27.0
100729	1827.0	1625	2039.0	1843	72.0	78.0	54.0	116.0	122.0	370	6.0	12.0	106.0	0.0	0.0	0.0	10.0
100849	1002.0	942	1144.0	1110	102.0	88.0	73.0	34.0	20.0	337	3.0	26.0	10.0	0.0	14.0	0.0	10.0
100880	1211.0	1155	1337.0	1313	86.0	78.0	58.0	24.0	16.0	337	7.0	21.0	0.0	0.0	8.0	0.0	16.0
100942	1002.0	940	1125.0	1102	83.0	82.0	60.0	23.0	22.0	373	5.0	18.0	8.0	0.0	1.0	0.0	14.0
101004	2322.0	2040	140.0	2326	78.0	106.0	60.0	134.0	162.0	451	5.0	13.0	8.0	0.0	0.0	0.0	126.0
101221	722.0	650	1010.0	933	168.0	163.0	138.0	37.0	32.0	954	14.0	16.0	0.0	0.0	5.0	0.0	32.0
101345	1608.0	1600	1740.0	1725	92.0	85.0	64.0	15.0	8.0	373	10.0	18.0	0.0	0.0	7.0	0.0	8.0
101438	1736.0	1700	2028.0	1943	172.0	163.0	136.0	45.0	36.0	954	14.0	22.0	0.0	0.0	9.0	0.0	36.0
101531	2024.0	1950	2153.0	2107	89.0	77.0	54.0	46.0	34.0	308	16.0	19.0	34.0	0.0	12.0	0.0	0.0
101592	2004.0	1755	2140.0	1923	96.0	88.0	70.0	137.0	129.0	337	12.0	14.0	0.0	0.0	122.0	0.0	15.0
101623	2216.0	1950	2349.0	2108	93.0	78.0	56.0	161.0	146.0	337	9.0	28.0	0.0	0.0	15.0	0.0	146.0
101684	1811.0	1755	1937.0	1917	86.0	82.0	62.0	20.0	16.0	373	5.0	19.0	0.0	0.0	4.0	0.0	16.0
101715	1957.0	1945	2231.0	2110	154.0	85.0	71.0	81.0	12.0	373	57.0	26.0	0.0	0.0	69.0	0.0	12.0
101746	2127.0	1910	2242.0	1936	135.0	86.0	63.0	186.0	137.0	370	44.0	28.0	0.0	0.0	49.0	0.0	137.0
101860	2012.0	1705	2142.0	1823	90.0	78.0	58.0	199.0	187.0	337	7.0	25.0	0.0	0.0	12.0	0.0	187.0
101891	1712.0	1620	2030.0	1932	138.0	132.0	110.0	58.0	52.0	862	10.0	18.0	21.0	0.0	6.0	0.0	31.0
101953	1809.0	1510	1938.0	1638	89.0	88.0	66.0	180.0	179.0	337	5.0	18.0	0.0	0.0	180.0	0.0	0.0
102074	1435.0	1415	1621.0	1549	166.0	154.0	141.0	32.0	20.0	862	8.0	17.0	16.0	0.0	12.0	0.0	4.0
102136	2054.0	2000	2248.0	2134	174.0	154.0	149.0	74.0	54.0	862	16.0	9.0	0.0	0.0	20.0	0.0	54.0
102167	21.0	2130	151.0	2258	90.0	88.0	61.0	173.0	171.0	337	4.0	25.0	2.0	0.0	2.0	0.0	169.0
102195	2057.0	2010	7.0	2322	130.0	132.0	106.0	45.0	47.0	862	10.0	14.0	0.0	0.0	3.0	0.0	42.0
102226	1433.0	1410	1552.0	1516	139.0	126.0	115.0	36.0	23.0	674	11.0	13.0	0.0	0.0	13.0	0.0	23.0
102257	1103.0	1035	1409.0	1342	126.0	127.0	93.0	27.0	28.0	674	3.0	30.0	0.0	0.0	2.0	0.0	25.0
102319	1939.0	1900	2220.0	2137	161.0	157.0	124.0	43.0	39.0	945	5.0	32.0	0.0	0.0	5.0	0.0	38.0
102381	2107.0	2015	2330.0	2249	143.0	154.0	115.0	41.0	52.0	834	5.0	23.0	41.0	0.0	0.0	0.0	0.0
102474	1230.0	1150	1357.0	1315	87.0	85.0	62.0	42.0	40.0	390	14.0	11.0	0.0	0.0	2.0	0.0	40.0
102718	1145.0	1125	1343.0	1315	118.0	110.0	98.0	28.0	20.0	562	10.0	10.0	0.0	0.0	8.0	0.0	20.0
102819	1034.0	1000	1207.0	1150	93.0	110.0	77.0	17.0	34.0	475	7.0	9.0	3.0	0.0	0.0	0.0	14.0
102844	747.0	645	904.0	809	77.0	84.0	51.0	55.0	62.0	288	7.0	19.0	55.0	0.0	0.0	0.0	0.0
103017	1515.0	1440	1741.0	1707	206.0	207.0	160.0	34.0	35.0	1092	3.0	43.0	34.0	0.0	0.0	0.0	0.0
103027	928.0	850	1200.0	1117	152.0	147.0	94.0	43.0	38.0	628	8.0	50.0	18.0	0.0	5.0	0.0	20.0
103106	1656.0	1640	1815.0	1758	79.0	78.0	61.0	17.0	16.0	308	10.0	8.0	2.0	0.0	1.0	0.0	14.0
103143	1920.0	1810	2135.0	2032	135.0	142.0	91.0	63.0	70.0	529	6.0	38.0	63.0	0.0	0.0	0.0	0.0
103391	1016.0	1000	1156.0	1134	100.0	94.0	85.0	22.0	16.0	416	8.0	7.0	1.0	0.0	6.0	0.0	15.0
103613	1314.0	1145	1521.0	1325	127.0	100.0	86.0	116.0	89.0	487	10.0	31.0	89.0	0.0	27.0	0.0	0.0
103657	1406.0	1230	1457.0	1327	51.0	57.0	32.0	90.0	96.0	160	4.0	15.0	0.0	90.0	0.0	0.0	0.0
103751	2057.0	1942	2309.0	2151	72.0	69.0	45.0	78.0	75.0	307	6.0	21.0	4.0	0.0	3.0	0.0	71.0
103891	1601.0	1542	1653.0	1637	52.0	55.0	34.0	16.0	19.0	201	4.0	14.0	5.0	0.0	0.0	0.0	11.0
103911	901.0	820	1004.0	929	63.0	69.0	25.0	35.0	41.0	116	6.0	32.0	11.0	0.0	0.0	0.0	24.0
104153	2246.0	2135	2351.0	2239	65.0	64.0	26.0	72.0	71.0	116	9.0	30.0	25.0	0.0	1.0	0.0	46.0
104216	1909.0	1839	2103.0	2029	114.0	110.0	93.0	34.0	30.0	657	6.0	15.0	30.0	0.0	4.0	0.0	0.0
104587	1532.0	1334	1748.0	1559	136.0	145.0	122.0	109.0	118.0	821	5.0	9.0	0.0	0.0	109.0	0.0	0.0
104922	1241.0	1210	1438.0	1412	117.0	122.0	86.0	26.0	31.0	487	9.0	22.0	0.0	6.0	0.0	0.0	20.0
105061	1935.0	1640	2057.0	1755	82.0	75.0	52.0	182.0	175.0	304	9.0	21.0	1.0	0.0	7.0	0.0	174.0
105079	2001.0	1836	2126.0	2020	85.0	104.0	68.0	66.0	85.0	438	11.0	6.0	0.0	0.0	0.0	0.0	66.0
105308	655.0	645	1031.0	1010	156.0	145.0	133.0	21.0	10.0	948	7.0	16.0	10.0	0.0	11.0	0.0	0.0
105351	1306.0	1245	1428.0	1412	82.0	87.0	51.0	16.0	21.0	278	7.0	24.0	16.0	0.0	0.0	0.0	0.0
105435	1147.0	1130	1425.0	1258	158.0	88.0	78.0	87.0	17.0	319	8.0	72.0	0.0	0.0	70.0	0.0	17.0
105467	1026.0	955	1233.0	1209	127.0	134.0	108.0	24.0	31.0	657	6.0	13.0	0.0	0.0	0.0	0.0	24.0
105525	1754.0	1700	1921.0	1830	87.0	90.0	49.0	51.0	54.0	246	9.0	29.0	0.0	0.0	0.0	0.0	51.0
105538	1338.0	1150	1625.0	1445	107.0	115.0	92.0	100.0	108.0	694	7.0	8.0	4.0	0.0	0.0	0.0	96.0
105678	1000.0	830	1124.0	1005	84.0	95.0	49.0	79.0	90.0	284	4.0	31.0	79.0	0.0	0.0	0.0	0.0
105999	1830.0	1710	2002.0	1830	92.0	80.0	46.0	92.0	80.0	143	31.0	15.0	0.0	0.0	18.0	0.0	74.0
106126	2201.0	1950	2334.0	2139	93.0	109.0	71.0	115.0	131.0	446	8.0	14.0	0.0	0.0	0.0	0.0	115.0
106202	1809.0	1728	2004.0	1938	175.0	190.0	151.0	26.0	41.0	1042	10.0	14.0	0.0	0.0	0.0	0.0	26.0
106285	2125.0	2015	2359.0	2249	214.0	214.0	155.0	70.0	70.0	1092	5.0	54.0	70.0	0.0	0.0	0.0	0.0
106289	1003.0	845	1240.0	1128	157.0	163.0	129.0	72.0	78.0	967	5.0	23.0	72.0	0.0	0.0	0.0	0.0
106335	2122.0	2100	2250.0	2228	88.0	88.0	67.0	22.0	22.0	429	3.0	18.0	22.0	0.0	0.0	0.0	0.0
106352	657.0	640	840.0	823	103.0	103.0	80.0	17.0	17.0	430	7.0	16.0	17.0	0.0	0.0	0.0	0.0
106369	1931.0	1905	2051.0	2017	80.0	72.0	44.0	34.0	26.0	245	12.0	24.0	26.0	0.0	8.0	0.0	0.0
106662	645.0	600	741.0	645	56.0	45.0	27.0	56.0	45.0	95	6.0	23.0	45.0	0.0	11.0	0.0	0.0
106700	2102.0	2055	2206.0	2147	64.0	52.0	27.0	19.0	7.0	95	17.0	20.0	0.0	0.0	12.0	0.0	7.0
106726	1258.0	1225	1428.0	1400	90.0	95.0	67.0	28.0	33.0	418	7.0	16.0	0.0	0.0	0.0	0.0	28.0
106742	1400.0	1250	1503.0	1400	123.0	130.0	104.0	63.0	70.0	694	3.0	16.0	63.0	0.0	0.0	0.0	0.0
106918	1423.0	1400	1726.0	1620	183.0	140.0	108.0	66.0	23.0	644	5.0	70.0	0.0	0.0	66.0	0.0	0.0
106922	2019.0	1718	2247.0	2013	148.0	175.0	131.0	154.0	181.0	984	3.0	14.0	0.0	0.0	0.0	0.0	154.0
106926	1640.0	1620	1957.0	1937	137.0	137.0	115.0	20.0	20.0	845	9.0	13.0	8.0	0.0	0.0	0.0	12.0
106932	2202.0	2055	2228.0	2115	86.0	80.0	62.0	73.0	67.0	328	7.0	17.0	0.0	0.0	6.0	0.0	67.0
106996	1015.0	1005	1217.0	1150	122.0	105.0	91.0	27.0	10.0	533	6.0	25.0	0.0	0.0	17.0	0.0	10.0
107017	1101.0	1012	1444.0	1357	163.0	165.0	148.0	47.0	49.0	1201	3.0	12.0	47.0	0.0	0.0	0.0	0.0
107089	1503.0	1440	1700.0	1645	117.0	125.0	93.0	15.0	23.0	487	5.0	19.0	0.0	0.0	0.0	0.0	15.0
107198	1532.0	1450	1650.0	1612	78.0	82.0	58.0	38.0	42.0	374	5.0	15.0	0.0	0.0	0.0	0.0	38.0
107397	1834.0	1800	2028.0	1935	114.0	95.0	73.0	53.0	34.0	282	15.0	26.0	0.0	0.0	19.0	0.0	34.0
107716	2254.0	2130	14.0	2255	80.0	85.0	50.0	79.0	84.0	266	4.0	26.0	79.0	0.0	0.0	0.0	0.0
107757	937.0	855	1213.0	1119	216.0	204.0	163.0	54.0	42.0	1008	6.0	47.0	19.0	0.0	12.0	0.0	23.0
107778	1043.0	1005	1203.0	1114	80.0	69.0	44.0	49.0	38.0	194	5.0	31.0	0.0	0.0	11.0	0.0	38.0
107783	1524.0	1500	1629.0	1614	65.0	74.0	51.0	15.0	24.0	308	5.0	9.0	15.0	0.0	0.0	0.0	0.0
107989	1652.0	1520	1836.0	1708	104.0	108.0	68.0	88.0	92.0	446	3.0	33.0	0.0	3.0	0.0	0.0	85.0
108134	910.0	840	1028.0	952	78.0	72.0	33.0	36.0	30.0	160	3.0	42.0	30.0	0.0	6.0	0.0	0.0
108135	1907.0	1845	2053.0	2015	166.0	150.0	125.0	38.0	22.0	719	6.0	35.0	22.0	0.0	16.0	0.0	0.0
108207	1717.0	1649	1808.0	1749	51.0	60.0	38.0	19.0	28.0	192	8.0	5.0	0.0	0.0	0.0	0.0	19.0
108389	2112.0	1825	2216.0	2005	124.0	160.0	111.0	131.0	167.0	788	4.0	9.0	0.0	0.0	0.0	0.0	131.0
108400	1259.0	1250	1643.0	1627	164.0	157.0	130.0	16.0	9.0	1042	4.0	30.0	9.0	0.0	7.0	0.0	0.0
108425	1402.0	1340	1807.0	1745	185.0	185.0	145.0	22.0	22.0	946	5.0	35.0	0.0	0.0	22.0	0.0	0.0
108458	1013.0	1005	1408.0	1350	175.0	165.0	152.0	18.0	8.0	1117	9.0	14.0	8.0	0.0	10.0	0.0	0.0
108680	1429.0	1340	1531.0	1500	122.0	140.0	104.0	31.0	49.0	689	7.0	11.0	4.0	0.0	0.0	0.0	27.0
108794	1841.0	1650	2018.0	1823	97.0	93.0	52.0	115.0	111.0	282	5.0	40.0	45.0	0.0	4.0	0.0	66.0
108848	1039.0	1020	1203.0	1134	84.0	74.0	62.0	29.0	19.0	246	6.0	16.0	0.0	0.0	10.0	0.0	19.0
108992	911.0	845	1005.0	925	114.0	100.0	68.0	40.0	26.0	448	4.0	42.0	26.0	0.0	14.0	0.0	0.0
109280	741.0	710	1140.0	1049	179.0	159.0	157.0	51.0	31.0	1069	6.0	16.0	0.0	0.0	20.0	31.0	0.0
109315	1857.0	1815	2032.0	2004	95.0	109.0	74.0	28.0	42.0	284	12.0	9.0	0.0	0.0	28.0	0.0	0.0
109328	1823.0	1610	1955.0	1739	92.0	89.0	69.0	136.0	133.0	469	9.0	14.0	0.0	0.0	3.0	0.0	133.0
109532	1602.0	1525	1653.0	1622	51.0	57.0	35.0	31.0	37.0	192	3.0	13.0	11.0	0.0	0.0	0.0	20.0
109556	1414.0	1335	1545.0	1512	91.0	97.0	64.0	33.0	39.0	416	9.0	18.0	33.0	0.0	0.0	0.0	0.0
109562	846.0	840	1030.0	1013	104.0	93.0	64.0	17.0	6.0	450	5.0	35.0	6.0	0.0	11.0	0.0	0.0
109571	1702.0	1400	1851.0	1559	109.0	119.0	86.0	172.0	182.0	544	10.0	13.0	0.0	5.0	0.0	0.0	167.0
109753	2204.0	2120	2340.0	2302	96.0	102.0	82.0	38.0	44.0	542	5.0	9.0	0.0	0.0	0.0	0.0	38.0
109827	643.0	630	840.0	814	117.0	104.0	80.0	26.0	13.0	487	8.0	29.0	13.0	0.0	13.0	0.0	0.0
110217	2041.0	2010	31.0	2358	170.0	168.0	150.0	33.0	31.0	1201	8.0	12.0	31.0	0.0	2.0	0.0	0.0
110424	1530.0	1445	1727.0	1654	117.0	129.0	104.0	33.0	45.0	657	3.0	10.0	1.0	0.0	0.0	0.0	32.0
110578	2212.0	2130	2341.0	2250	89.0	80.0	47.0	51.0	42.0	284	4.0	38.0	0.0	0.0	9.0	0.0	42.0
110579	948.0	920	1205.0	1114	137.0	114.0	90.0	51.0	28.0	529	17.0	30.0	28.0	0.0	23.0	0.0	0.0
110606	1959.0	1640	2157.0	1824	178.0	164.0	110.0	213.0	199.0	748	7.0	61.0	0.0	4.0	14.0	0.0	195.0
110785	905.0	820	1023.0	939	78.0	79.0	41.0	44.0	45.0	194	5.0	32.0	0.0	44.0	0.0	0.0	0.0
110926	1316.0	1210	1514.0	1430	178.0	200.0	156.0	44.0	66.0	1092	4.0	18.0	0.0	0.0	0.0	0.0	44.0
110964	2040.0	1850	2139.0	1955	59.0	65.0	37.0	104.0	110.0	192	7.0	15.0	0.0	0.0	0.0	0.0	104.0
111066	1815.0	1740	2039.0	1946	144.0	126.0	86.0	53.0	35.0	487	11.0	47.0	14.0	0.0	18.0	0.0	21.0
111102	1924.0	1630	1959.0	1650	95.0	80.0	64.0	189.0	174.0	328	7.0	24.0	3.0	0.0	15.0	0.0	171.0
111114	1142.0	1055	1503.0	1415	141.0	140.0	115.0	48.0	47.0	925	14.0	12.0	47.0	0.0	1.0	0.0	0.0
111130	1930.0	1745	2138.0	1940	128.0	115.0	86.0	118.0	105.0	446	13.0	29.0	0.0	0.0	42.0	0.0	76.0
111146	1532.0	1445	1708.0	1638	156.0	173.0	142.0	30.0	47.0	925	8.0	6.0	3.0	0.0	0.0	0.0	27.0
111295	1540.0	1320	1707.0	1448	87.0	88.0	50.0	139.0	140.0	160	5.0	32.0	0.0	0.0	139.0	0.0	0.0
111589	1223.0	1145	1350.0	1325	87.0	100.0	67.0	25.0	38.0	446	4.0	16.0	3.0	0.0	0.0	0.0	22.0
111658	1815.0	1720	1944.0	1902	89.0	102.0	46.0	42.0	55.0	284	4.0	39.0	14.0	0.0	0.0	0.0	28.0
111936	1808.0	1750	1927.0	1910	79.0	80.0	48.0	17.0	18.0	169	17.0	14.0	0.0	0.0	0.0	0.0	17.0
111967	940.0	845	1123.0	1055	163.0	190.0	118.0	28.0	55.0	850	4.0	41.0	28.0	0.0	0.0	0.0	0.0
112037	2110.0	2050	2243.0	2204	93.0	74.0	41.0	39.0	20.0	194	5.0	47.0	0.0	20.0	19.0	0.0	0.0
112054	1542.0	1425	1731.0	1634	109.0	129.0	74.0	57.0	77.0	393	7.0	28.0	0.0	0.0	57.0	0.0	0.0
112114	1350.0	1300	1507.0	1413	77.0	73.0	52.0	54.0	50.0	266	6.0	19.0	50.0	0.0	4.0	0.0	0.0
112129	1756.0	1705	1927.0	1837	91.0	92.0	55.0	50.0	51.0	278	9.0	27.0	0.0	0.0	50.0	0.0	0.0
112143	1026.0	955	1149.0	1123	83.0	88.0	67.0	26.0	31.0	489	4.0	12.0	26.0	0.0	0.0	0.0	0.0
112158	1430.0	1340	1824.0	1740	174.0	180.0	153.0	44.0	50.0	1092	8.0	13.0	0.0	0.0	44.0	0.0	0.0
112359	910.0	700	1023.0	814	73.0	74.0	57.0	129.0	130.0	278	8.0	8.0	129.0	0.0	0.0	0.0	0.0
112868	2041.0	1650	2209.0	1844	148.0	174.0	135.0	205.0	231.0	975	7.0	6.0	0.0	10.0	0.0	0.0	195.0
113041	1240.0	1215	1355.0	1327	75.0	72.0	54.0	28.0	25.0	339	3.0	18.0	0.0	0.0	3.0	0.0	25.0
113518	1539.0	1310	1705.0	1415	86.0	65.0	38.0	170.0	149.0	169	5.0	43.0	0.0	149.0	21.0	0.0	0.0
113547	2126.0	1945	2335.0	2154	189.0	189.0	131.0	101.0	101.0	872	7.0	51.0	0.0	4.0	0.0	0.0	97.0
113580	1611.0	1459	1725.0	1631	134.0	152.0	121.0	54.0	72.0	845	4.0	9.0	0.0	0.0	0.0	0.0	54.0
113584	1232.0	1100	1548.0	1412	136.0	132.0	111.0	96.0	92.0	828	5.0	20.0	0.0	0.0	4.0	0.0	92.0
113641	2049.0	1930	2217.0	2058	88.0	88.0	46.0	79.0	79.0	213	8.0	34.0	35.0	0.0	0.0	0.0	44.0
113825	1018.0	1000	1323.0	1304	125.0	124.0	101.0	19.0	18.0	817	7.0	17.0	0.0	0.0	1.0	0.0	18.0
113889	1618.0	1530	1837.0	1750	139.0	140.0	90.0	47.0	48.0	569	7.0	42.0	0.0	8.0	0.0	0.0	39.0
113913	953.0	840	1214.0	1054	141.0	134.0	115.0	80.0	73.0	657	12.0	14.0	73.0	0.0	7.0	0.0	0.0
114052	1546.0	1447	1703.0	1614	77.0	87.0	65.0	49.0	59.0	489	4.0	8.0	49.0	0.0	0.0	0.0	0.0
114125	1058.0	1020	1208.0	1129	70.0	69.0	52.0	39.0	38.0	160	5.0	13.0	5.0	0.0	1.0	0.0	33.0
114166	639.0	630	809.0	753	90.0	83.0	52.0	16.0	9.0	266	5.0	33.0	0.0	0.0	7.0	9.0	0.0
114206	1143.0	1125	1301.0	1242	78.0	77.0	53.0	19.0	18.0	314	5.0	20.0	18.0	0.0	1.0	0.0	0.0
114251	1244.0	1200	1408.0	1315	84.0	75.0	60.0	53.0	44.0	284	3.0	21.0	6.0	0.0	9.0	0.0	38.0
114255	2209.0	2020	37.0	2254	148.0	154.0	99.0	103.0	109.0	708	9.0	40.0	0.0	1.0	0.0	0.0	102.0
114341	1541.0	1450	1745.0	1658	124.0	128.0	98.0	47.0	51.0	605	5.0	21.0	47.0	0.0	0.0	0.0	0.0
114344	2022.0	1950	2221.0	2140	119.0	110.0	63.0	41.0	32.0	446	3.0	53.0	0.0	0.0	9.0	0.0	32.0
114409	1007.0	640	1125.0	804	78.0	84.0	56.0	201.0	207.0	209	6.0	16.0	201.0	0.0	0.0	0.0	0.0
114456	2157.0	2055	2238.0	2142	41.0	47.0	26.0	56.0	62.0	127	6.0	9.0	56.0	0.0	0.0	0.0	0.0
114766	2019.0	1915	2257.0	2145	218.0	210.0	147.0	72.0	64.0	1069	19.0	52.0	22.0	0.0	8.0	0.0	42.0
114816	653.0	630	812.0	738	79.0	68.0	48.0	34.0	23.0	253	7.0	24.0	23.0	0.0	11.0	0.0	0.0
114824	1814.0	1735	2027.0	1935	133.0	120.0	103.0	52.0	39.0	643	9.0	21.0	5.0	0.0	13.0	0.0	34.0
114872	1738.0	1710	1843.0	1810	65.0	60.0	40.0	33.0	28.0	162	10.0	15.0	0.0	0.0	5.0	0.0	28.0
114879	920.0	850	1051.0	1020	91.0	90.0	55.0	31.0	30.0	284	3.0	33.0	30.0	0.0	1.0	0.0	0.0
114957	1253.0	1225	1435.0	1350	102.0	85.0	75.0	45.0	28.0	393	4.0	23.0	6.0	0.0	17.0	0.0	22.0
115103	2023.0	1900	2146.0	2045	83.0	105.0	58.0	61.0	83.0	199	13.0	12.0	0.0	0.0	12.0	0.0	49.0
115178	1639.0	1255	2005.0	1624	146.0	149.0	129.0	221.0	224.0	975	5.0	12.0	221.0	0.0	0.0	0.0	0.0
115237	1212.0	1155	1357.0	1335	105.0	100.0	83.0	22.0	17.0	489	13.0	9.0	0.0	0.0	5.0	0.0	17.0
115310	2208.0	2045	10.0	2315	182.0	210.0	161.0	55.0	83.0	1241	5.0	16.0	55.0	0.0	0.0	0.0	0.0
115342	2200.0	2055	2258.0	2154	58.0	59.0	43.0	64.0	65.0	214	4.0	11.0	0.0	0.0	0.0	0.0	64.0
115434	742.0	705	851.0	822	69.0	77.0	55.0	29.0	37.0	376	4.0	10.0	3.0	0.0	0.0	0.0	26.0
115810	1645.0	1445	1840.0	1645	115.0	120.0	100.0	115.0	120.0	588	6.0	9.0	31.0	0.0	0.0	0.0	84.0
115848	1301.0	1200	1542.0	1439	161.0	159.0	139.0	63.0	61.0	967	8.0	14.0	0.0	0.0	2.0	0.0	61.0
115912	1544.0	1420	1703.0	1605	79.0	105.0	63.0	58.0	84.0	319	5.0	11.0	0.0	0.0	58.0	0.0	0.0
116018	705.0	645	1051.0	1023	166.0	158.0	151.0	28.0	20.0	1055	6.0	9.0	20.0	0.0	8.0	0.0	0.0
116034	1439.0	1340	1709.0	1525	150.0	105.0	76.0	104.0	59.0	284	6.0	68.0	0.0	0.0	104.0	0.0	0.0
116236	1915.0	1840	2116.0	2023	121.0	103.0	64.0	53.0	35.0	266	13.0	44.0	0.0	0.0	18.0	0.0	35.0
116252	1517.0	1220	1632.0	1329	75.0	69.0	45.0	183.0	177.0	209	8.0	22.0	177.0	0.0	6.0	0.0	0.0
116297	1541.0	1500	1837.0	1755	116.0	115.0	99.0	42.0	41.0	694	7.0	10.0	2.0	0.0	1.0	0.0	39.0
116409	2249.0	2100	2337.0	2157	48.0	57.0	35.0	100.0	109.0	192	5.0	8.0	3.0	0.0	0.0	0.0	97.0
116452	723.0	655	840.0	812	77.0	77.0	56.0	28.0	28.0	314	10.0	11.0	28.0	0.0	0.0	0.0	0.0
116486	1524.0	1515	1641.0	1625	137.0	130.0	117.0	16.0	9.0	744	6.0	14.0	9.0	0.0	7.0	0.0	0.0
116557	1255.0	1245	1654.0	1628	179.0	163.0	149.0	26.0	10.0	1201	5.0	25.0	10.0	0.0	16.0	0.0	0.0
116611	2219.0	2110	2348.0	2250	89.0	100.0	46.0	58.0	69.0	278	5.0	38.0	0.0	58.0	0.0	0.0	0.0
116736	2107.0	2015	2345.0	2253	218.0	218.0	166.0	52.0	52.0	1133	5.0	47.0	0.0	9.0	0.0	0.0	43.0
117007	1042.0	815	1157.0	942	75.0	87.0	54.0	135.0	147.0	266	5.0	16.0	0.0	0.0	0.0	0.0	135.0
117043	907.0	855	1039.0	1022	92.0	87.0	55.0	17.0	12.0	403	4.0	33.0	0.0	0.0	5.0	0.0	12.0
117053	1749.0	1635	1915.0	1810	86.0	95.0	49.0	65.0	74.0	278	6.0	31.0	0.0	15.0	0.0	0.0	50.0
117143	1329.0	1315	1652.0	1450	203.0	95.0	59.0	122.0	14.0	209	5.0	139.0	0.0	0.0	111.0	0.0	11.0
117197	613.0	600	749.0	724	96.0	84.0	63.0	25.0	13.0	376	11.0	22.0	0.0	0.0	12.0	13.0	0.0
117241	1611.0	1425	1800.0	1602	169.0	157.0	115.0	118.0	106.0	748	20.0	34.0	0.0	10.0	12.0	0.0	96.0
117418	1751.0	1737	2024.0	2005	93.0	88.0	68.0	19.0	14.0	448	10.0	15.0	14.0	0.0	5.0	0.0	0.0
117469	1919.0	1845	2021.0	1945	62.0	60.0	34.0	36.0	34.0	192	7.0	21.0	34.0	0.0	2.0	0.0	0.0
117474	1835.0	1827	2017.0	2000	162.0	153.0	138.0	17.0	8.0	838	7.0	17.0	0.0	0.0	9.0	0.0	8.0
117653	1524.0	1320	1646.0	1509	82.0	109.0	69.0	97.0	124.0	416	5.0	8.0	0.0	0.0	97.0	0.0	0.0
117752	1512.0	1421	1717.0	1641	125.0	140.0	114.0	36.0	51.0	781	5.0	6.0	0.0	0.0	0.0	0.0	36.0
117802	2128.0	1800	2329.0	2009	121.0	129.0	93.0	200.0	208.0	657	3.0	25.0	0.0	0.0	0.0	0.0	200.0
